date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,MBB,Ngân hàng,7.95,121527495000,STOCK
2026-07-01,CTG,Ngân hàng,7.28,111356784000,STOCK
2026-07-01,HPG,Vật liệu xây dựng,6.01,91977554900,STOCK
2026-07-01,VCB,Ngân hàng,5.65,86400100000,STOCK
2026-07-01,MWG,Bán lẻ,5.51,84309186000,STOCK
2026-07-01,STB,Ngân hàng,4.74,72497840000,STOCK
2026-07-01,HDB,Ngân hàng,4.56,69775801200,STOCK
2026-07-01,PHR,Sản xuất Nhựa - Hóa chất,4.53,69347120000,STOCK
2026-07-01,FRT,Bán lẻ,4.05,61861632000,STOCK
2026-07-01,TCB,Ngân hàng,3.65,55798230000,STOCK
